FIELD_NAME,DESCRIPTION,SHORT_DESC,GROUP,TYPE
PCN_WORKFORCE_DIR,PCN Workforce - Directors FTE,PCN Directors FTE,Workforce,DBL
QOF_ACHV_AF006,The percentage of patients with atrial fibrillation in whom stroke risk has been assessed using the CHA2DS2-VASc score risk stratification scoring system in the preceding 12 months (excluding those patients with a previous CHADS2 or CHA2DS2-VASc score of 2 or more),AF006 Achievement,QOF Achievement,PCT
QOF_ACHV_AF008,"Percentage of patients on the QOF Atrial Fibrillation register and with a CHA2DS2-VASc score 2 or more, who were prescribed a direct-acting oral anticoagulant (DOAC), or, where a DOAC was declined or clinically unsuitable, a Vitamin K antagonist",AF008 Achievement,QOF Achievement,PCT
QOF_ACHV_AST007,"The percentage of patients with asthma, on the register, who have had an asthma review in the preceding 12 months that includes an assessment of asthma control using a validated asthma control questionnaire, a recording of the number of exacerbations, an assessment of inhaler technique and a written personalised asthma plan.",AST007 Achievement,QOF Achievement,PCT
QOF_ACHV_AST008,"The percentage of patients with asthma on the register aged 19 years or under, in whom there is a record of either personal smoking status or exposure to secondhand smoke in the preceding 12 months.",AST008 Achievement,QOF Achievement,PCT
QOF_ACHV_AST011,"The percentage of patients with a diagnosis of asthma on or after 1 April 2023  with either:  1. A record of quality assured spirometry and one other objective test (FeNO or, bronchodilator reversibility or peak flow variability) between 3 months before or 6 months after diagnosis; or 2. If newly registered in the preceding 12 months with a diagnosis of asthma recorded on or after 1 April 2023 but no record of objective tests being performed at the date of the registration, with a quality assured spirometry and one other objective test (FeNO or bronchodilator reversibility or peak flow variability) recorded within 6 months of the registration. ",AST011 Achievement,QOF Achievement,PCT
QOF_ACHV_BP002,The percentage of patients aged 45 or over who have a record of blood pressure in the preceding 5 years,BP002 Achievement,QOF Achievement,PCT
QOF_ACHV_CAN004,"The percentage of patients with cancer, diagnosed within the preceding 24 months, who have a patient Cancer Care Review using a structured template recorded as occurring within 12 months of diagnosis",CAN004 Achievement,QOF Achievement,PCT
QOF_ACHV_CAN005,"The percentage of patients with cancer, diagnosed within the preceding 12 months, who have had the opportunity for a discussion and informed of the support available from primary care, within 3 months of diagnosis.",CAN005 Achievement,QOF Achievement,PCT
QOF_ACHV_CHD005,"The percentage of patients with coronary heart disease with a record in the preceding 12 months that aspirin, an alternative anti-platelet therapy, or an anti-coagulant is being taken ",CHD005 Achievement,QOF Achievement,PCT
QOF_ACHV_CHD015,"The percentage of patients aged 79 years or under, with coronary heart disease, in whom the last blood pressure reading (measured in the preceding 12 months) is 140/90 mmHg or less (or equivalent home blood pressure reading)",CHD015 Achievement,QOF Achievement,PCT
QOF_ACHV_CHD016,"The percentage of patients aged 80 years or over, with coronary heart disease, in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less (or equivalent home blood pressure reading)",CHD016 Achievement,QOF Achievement,PCT
QOF_ACHV_CHOL003,"Percentage of patients on the QOF Coronary Heart Disease (CHD), Peripheral Arterial Disease (PAD), Stroke/Transient Ischaemic Attack (TIA) or Chronic Kidney Disease (CKD) Register who are currently prescribed a statin, or where a statin is declined or clinically unsuitable, another lipid-lowering therapy",CHOL003 Achievement,QOF Achievement,PCT
